model,label,early_lo,early_hi,delta_lambda2_mean
qwen2.5-7b,AR,2,5,-0.021400012075901004
qwen2.5-7b,DE,2,5,-0.0035493498047192706
qwen2.5-7b,EN,2,5,-0.029837380473812423
qwen2.5-7b,ES,2,5,-0.013137261072794629
qwen2.5-7b,FI,2,5,0.014691926538944244
qwen2.5-7b,FR,2,5,-0.029164835810661316
qwen2.5-7b,HE,2,5,-0.011598758399486542
qwen2.5-7b,HI,2,5,-0.0433416316906611
qwen2.5-7b,ID,2,5,0.04450396200021112
qwen2.5-7b,IT,2,5,0.005045115947723361
qwen2.5-7b,JA,2,5,0.0045617471138636595
qwen2.5-7b,KO,2,5,-0.017346228162447616
qwen2.5-7b,PL,2,5,0.019176632165908827
qwen2.5-7b,PT,2,5,-0.015353257457415254
qwen2.5-7b,RU,2,5,-0.003224782645702376
qwen2.5-7b,SW,2,5,0.011876054108142853
qwen2.5-7b,TR,2,5,-0.030068869392077133
qwen2.5-7b,VI,2,5,0.02687372515598932
qwen2.5-7b,YO,2,5,-0.05386274059613545
qwen2.5-7b,ZH,2,5,-0.021811741093794496
phi-3-mini,AR,2,5,0.0042440841595331735
phi-3-mini,DE,2,5,0.004556631048520388
phi-3-mini,EN,2,5,-0.44606902698675793
phi-3-mini,ES,2,5,-0.0127859661976496
phi-3-mini,FI,2,5,0.0010134130716323714
phi-3-mini,FR,2,5,-0.1340849896272024
phi-3-mini,HE,2,5,0.0025158723195393973
phi-3-mini,HI,2,5,0.0011831969022750716
phi-3-mini,ID,2,5,-0.0009674876928329884
phi-3-mini,IT,2,5,-0.008408772448698684
phi-3-mini,JA,2,5,0.001619026064872714
phi-3-mini,KO,2,5,-0.01544392605622609
phi-3-mini,PL,2,5,0.0006472170352935652
phi-3-mini,PT,2,5,0.0034878949324289726
phi-3-mini,RU,2,5,-0.02334531148274742
phi-3-mini,SW,2,5,0.00355092684427899
phi-3-mini,TR,2,5,-0.004136318961779295
phi-3-mini,VI,2,5,-0.004245797793070494
phi-3-mini,YO,2,5,0.0061624993880590034
phi-3-mini,ZH,2,5,-0.0021151800950368616
llama-3.2-1b,AR,2,5,-0.005519390106201172
llama-3.2-1b,DE,2,5,-0.023733422160148565
llama-3.2-1b,EN,2,5,0.004232063889503479
llama-3.2-1b,ES,2,5,0.006621465086936923
llama-3.2-1b,FI,2,5,-0.042845750848452185
llama-3.2-1b,FR,2,5,-0.0018046796321868896
llama-3.2-1b,HE,2,5,-0.008205811182657868
llama-3.2-1b,HI,2,5,-0.01754266023635867
llama-3.2-1b,ID,2,5,0.006843313574790955
llama-3.2-1b,IT,2,5,-0.007062450051307678
llama-3.2-1b,JA,2,5,-0.004762485623359708
llama-3.2-1b,KO,2,5,0.00858512024084726
llama-3.2-1b,PL,2,5,-0.017885362108548464
llama-3.2-1b,PT,2,5,-0.002108231186866788
llama-3.2-1b,RU,2,5,-0.00042042632897693055
llama-3.2-1b,SW,2,5,-0.008253350853919955
llama-3.2-1b,TR,2,5,-0.017875259121259063
llama-3.2-1b,VI,2,5,0.003847027818361909
llama-3.2-1b,YO,2,5,-0.017915204167366028
llama-3.2-1b,ZH,2,5,0.009102607766787202
